fips,county,state,score,signal_types,igsa,anc_contract,real_estate,commission,comms,budget,sheriff,jobs,legislative,legistar_client_guess
26163,"Wayne County, MI",MI,98,5,3,1,1,1,1,0,0,0,0,
12011,"Broward County, FL",FL,83,4,2,3,0,0,0,1,0,2,0,broward
13049,"Charlton County, GA",GA,79,3,4,3,0,0,0,1,0,0,0,
04021,"Pinal County, AZ",AZ,76,3,4,3,1,0,0,0,0,0,0,
06073,"San Diego County, CA",CA,74,2,7,3,0,0,0,0,0,0,0,sdcounty
06059,"Orange County, CA",CA,74,2,6,3,0,0,0,0,0,0,0,
48479,"Webb County, TX",TX,68,3,2,3,0,0,0,0,0,2,0,
12086,"Miami-Dade County, FL",FL,65,4,1,3,9,0,0,0,0,1,0,miamidade
06037,"Los Angeles County, CA",CA,64,2,4,3,0,0,0,0,0,0,0,lacounty
12099,"Palm Beach County, FL",FL,63,4,1,3,1,0,0,0,0,1,0,
12007,"Bradford County, FL",FL,54,4,1,0,0,1,0,2,0,1,0,
13259,"Stewart County, GA",GA,49,3,1,3,0,0,0,1,0,0,0,
48163,"Frio County, TX",TX,49,3,1,3,0,0,0,1,0,0,0,
13051,"Chatham County, GA",GA,48,3,1,3,2,0,0,0,0,0,0,
04013,"Maricopa County, AZ",AZ,48,3,1,3,5,0,0,0,0,0,0,maricopa
35001,"Bernalillo County, NM",NM,45,3,1,3,0,0,0,0,0,0,1,
48491,"Williamson County, TX",TX,44,2,2,3,0,0,0,0,0,0,0,
06029,"Kern County, CA",CA,44,2,2,3,0,0,0,0,0,0,0,
48339,"Montgomery County, TX",TX,44,2,2,3,0,0,0,0,0,0,0,
06067,"Sacramento County, CA",CA,44,2,2,3,0,0,0,0,0,0,0,sacramento
08005,"Arapahoe County, CO",CO,44,2,2,3,0,0,0,0,0,0,0,arapahoe
51147,"Prince Edward County, VA",VA,44,2,2,3,0,0,0,0,0,0,0,
34013,"Essex County, NJ",NJ,44,2,2,3,0,0,0,0,0,0,0,
06025,"Imperial County, CA",CA,44,2,2,3,0,0,0,0,0,0,0,
51760,"Richmond city, VA",VA,44,2,2,3,0,0,0,0,0,0,0,richmondva
51840,"Winchester city, VA",VA,44,2,2,3,0,0,0,0,0,0,0,
12057,"Hillsborough County, FL",FL,43,3,1,2,0,0,0,0,0,1,0,hillsboroughcounty
22029,"Concordia Parish, LA",LA,43,3,2,1,0,0,0,1,0,0,0,
22039,"Evangeline Parish, LA",LA,43,3,2,1,0,0,0,1,0,0,0,
29133,"Mississippi County, MO",MO,41,3,1,2,0,0,0,1,0,0,0,
48389,"Reeves County, TX",TX,40,1,4,0,0,0,0,0,0,0,0,
35006,"Cibola County, NM",NM,36,3,2,0,0,0,0,1,0,0,1,
12085,"Martin County, FL",FL,35,3,1,1,0,0,0,0,0,1,0,martin
13029,"Bryan County, GA",GA,34,2,1,3,0,0,0,0,0,0,0,
13067,"Cobb County, GA",GA,34,2,1,6,0,0,0,0,0,0,0,
48215,"Hidalgo County, TX",TX,34,2,1,3,0,0,0,0,0,0,0,
13089,"DeKalb County, GA",GA,34,2,1,3,0,0,0,0,0,0,0,
51775,"Salem city, VA",VA,34,2,1,3,0,0,0,0,0,0,0,salem
13135,"Gwinnett County, GA",GA,34,2,1,4,0,0,0,0,0,0,0,
51003,"Albemarle County, VA",VA,34,2,1,3,0,0,0,0,0,0,0,albemarle
13145,"Harris County, GA",GA,34,2,1,3,0,0,0,0,0,0,0,
51600,"Fairfax city, VA",VA,34,2,1,6,0,0,0,0,0,0,0,
48061,"Cameron County, TX",TX,34,2,1,3,0,0,0,0,0,0,0,
48141,"El Paso County, TX",TX,34,2,1,3,0,0,0,0,0,0,0,
37001,"Alamance County, NC",NC,34,2,1,3,0,0,0,0,0,0,0,
51810,"Virginia Beach city, VA",VA,34,2,1,3,0,0,0,0,0,0,0,
51047,"Culpeper County, VA",VA,34,2,1,3,0,0,0,0,0,0,0,
51137,"Orange County, VA",VA,34,2,1,3,0,0,0,0,0,0,0,
06071,"San Bernardino County, CA",CA,34,2,1,3,0,0,0,0,0,0,0,sanbernardino
13139,"Hall County, GA",GA,34,2,1,4,0,0,0,0,0,0,0,
17031,"Cook County, IL",IL,34,2,1,3,0,0,0,0,0,0,0,
51171,"Shenandoah County, VA",VA,34,2,1,3,0,0,0,0,0,0,0,
13155,"Irwin County, GA",GA,34,2,1,3,0,0,0,0,0,0,0,
51033,"Caroline County, VA",VA,34,2,1,3,0,0,0,0,0,0,0,
13313,"Whitfield County, GA",GA,34,2,1,3,0,0,0,0,0,0,0,
22127,"Winn Parish, LA",LA,33,3,1,1,0,0,0,1,0,0,0,
22025,"Catahoula Parish, LA",LA,33,3,1,1,0,0,0,1,0,0,0,
22107,"Tensas Parish, LA",LA,33,3,1,1,0,0,0,1,0,0,0,
12031,"Duval County, FL",FL,31,3,1,0,4,0,0,0,0,1,0,
12103,"Pinellas County, FL",FL,31,2,0,3,0,0,0,0,0,1,0,pinellas
12009,"Brevard County, FL",FL,31,2,0,3,0,0,0,0,0,1,0,brevardfl
22103,"St. Tammany Parish, LA",LA,30,3,1,1,1,0,0,0,0,0,0,
13297,"Walton County, GA",GA,30,2,0,3,0,0,1,0,0,0,0,
22059,"LaSalle Parish, LA",LA,28,2,2,1,0,0,0,0,0,0,0,
22003,"Allen Parish, LA",LA,28,2,2,1,0,0,0,0,0,0,0,
13157,"Jackson County, GA",GA,28,2,0,3,2,0,0,0,0,0,0,
48201,"Harris County, TX",TX,28,2,0,3,2,0,0,0,0,0,0,
48029,"Bexar County, TX",TX,28,2,0,3,2,0,0,0,0,0,0,
